       #Energy       JDOS
       0.00000       0.00000
       0.01000       0.00000
       0.01999       0.00000
       0.02999       0.00000
       0.03998       0.00000
       0.04998       0.00000
       0.05997       0.00000
       0.06997       0.00000
       0.07996       0.00000
       0.08996       0.00000
       0.09995       0.00000
       0.10995       0.00000
       0.11994       0.00000
       0.12994       0.00000
       0.13993       0.00000
       0.14993       0.00000
       0.15992       0.00000
       0.16992       0.00000
       0.17991       0.00000
       0.18991       0.00000
       0.19990       0.00000
       0.20990       0.00000
       0.21989       0.00000
       0.22989       0.00000
       0.23988       0.00000
       0.24988       0.00000
       0.25987       0.00000
       0.26987       0.00000
       0.27986       0.00000
       0.28986       0.00000
       0.29985       0.00000
       0.30985       0.00000
       0.31984       0.00000
       0.32984       0.00000
       0.33983       0.00000
       0.34983       0.00000
       0.35982       0.00000
       0.36982       0.00000
       0.37981       0.00000
       0.38981       0.00000
       0.39980       0.00000
       0.40980       0.00000
       0.41979       0.00000
       0.42979       0.00000
       0.43978       0.00000
       0.44978       0.00000
       0.45977       0.00000
       0.46977       0.00000
       0.47976       0.00000
       0.48976       0.00000
       0.49975       0.00000
       0.50975       0.00000
       0.51974       0.00000
       0.52974       0.00000
       0.53973       0.00000
       0.54973       0.00000
       0.55972       0.00000
       0.56972       0.00000
       0.57971       0.00000
       0.58971       0.00000
       0.59970       0.00000
       0.60970       0.00000
       0.61969       0.00000
       0.62969       0.00000
       0.63968       0.00000
       0.64968       0.00000
       0.65967       0.00000
       0.66967       0.00000
       0.67966       0.00000
       0.68966       0.00000
       0.69965       0.00000
       0.70965       0.00000
       0.71964       0.00000
       0.72964       0.00000
       0.73963       0.00000
       0.74963       0.00000
       0.75962       0.00000
       0.76962       0.00000
       0.77961       0.00000
       0.78961       0.00000
       0.79960       0.00000
       0.80960       0.00000
       0.81959       0.00000
       0.82959       0.00000
       0.83958       0.00000
       0.84958       0.00000
       0.85957       0.00000
       0.86957       0.00000
       0.87956       0.00000
       0.88956       0.00000
